gene	entrezId	canonicalSymbol	organismTaxId
Crisp1	11571	Crisp1	10090
Crisp3	11572	Crisp3	10090
Afp	11576	Afp	10090
ag	11592	ag	10090
Aga	11593	Aga	10090
Acan	11595	Acan	10090
Ager	11596	Ager	10090
Angpt1	11600	Angpt1	10090
Angpt2	11601	Angpt2	10090
Angpt4	11602	Angpt4	10090
Agrn	11603	Agrn	10090
Agrp	11604	Agrp	10090
Gla	11605	Gla	10090
Agt	11606	Agt	10090
Agtr1a	11607	Agtr1a	10090
Agtr1b	11608	Agtr1b	10090
Agtr2	11609	Agtr2	10090
Agtrap	11610	Agtrap	10090
Agxt	11611	Agxt	10090
Nr0b1	11614	Nr0b1	10090
Gm4737	11615	Gm4737	10090
Ahr	11622	Ahr	10090
Ahrr	11624	Ahrr	10090
Ahsg	11625	Ahsg	10090
Aicda	11628	Aicda	10090
Aif1	11629	Aif1	10090
Aim1	11630	Aim1	10090
Aip	11632	Aip	10090
Aire	11634	Aire	10090
Ak1	11636	Ak1	10090
Ak2	11637	Ak2	10090
Ak4	11639	Ak4	10090
Akap1	11640	Akap1	10090
Akap2	11641	Akap2	10090
Akap3	11642	Akap3	10090
Akap4	11643	Akap4	10090
Alpl	11647	Alpl	10090
Akp3	11648	Akp3	10090
Alppl2	11650	Alppl2	10090
Akt1	11651	Akt1	10090
Akt2	11652	Akt2	10090
Alas1	11655	Alas1	10090
Alas2	11656	Alas2	10090
Alb	11657	Alb	10090
Alcam	11658	Alcam	10090
Abcd1	11666	Abcd1	10090
Aldh1a1	11668	Aldh1a1	10090
Aldh2	11669	Aldh2	10090
Aldh3a1	11670	Aldh3a1	10090
Aldh3a2	11671	Aldh3a2	10090
Aldoa	11674	Aldoa	10090
Aldoc	11676	Aldoc	10090
Akr1b3	11677	Akr1b3	10090
Alk	11682	Alk	10090
Alox12	11684	Alox12	10090
Alox12e	11685	Alox12e	10090
Alox12b	11686	Alox12b	10090
Alox15	11687	Alox15	10090
Alox8	11688	Alox8	10090
Alox5	11689	Alox5	10090
Alox5ap	11690	Alox5ap	10090
alp	11691	alp	10090
Gfer	11692	Gfer	10090
Alx3	11694	Alx3	10090
Alx4	11695	Alx4	10090
am	11697	am	10090
Ambn	11698	Ambn	10090
Ambp	11699	Ambp	10090
amd	11700	amd	10090
Amd-ps1	11701	Amd-ps1	10090
Amd1	11702	Amd1	10090
Amelx	11704	Amelx	10090
Amh	11705	Amh	10090
Ampd3	11717	Ampd3	10090
Mat1a	11720	Mat1a	10090
Amy1	11722	Amy1	10090
Ang	11727	Ang	10090
Ang-ps1	11728	Ang-ps1	10090
Ang3	11730	Ang3	10090
Ang2	11731	Ang2	10090
Ank	11732	Ank	10090
Ank1	11733	Ank1	10090
Ank3	11735	Ank3	10090
Ankfy1	11736	Ankfy1	10090
Anp32a	11737	Anp32a	10090
Aqp8	11833	Aqp8	10090
Slc25a4	11739	Slc25a4	10090
Slc25a5	11740	Slc25a5	10090
anx	11743	anx	10090
Anxa11	11744	Anxa11	10090
Anxa3	11745	Anxa3	10090
Anxa4	11746	Anxa4	10090
Anxa5	11747	Anxa5	10090
Anxa6	11749	Anxa6	10090
Anxa7	11750	Anxa7	10090
Anxa8	11752	Anxa8	10090
ao	11753	ao	10090
Aoc3	11754	Aoc3	10090
Prdx3	11757	Prdx3	10090
Prdx6	11758	Prdx6	10090
Aox1	11761	Aox1	10090
ap	11763	ap	10090
Ap1b1	11764	Ap1b1	10090
Ap1g1	11765	Ap1g1	10090
Ap1g2	11766	Ap1g2	10090
Ap1m1	11767	Ap1m1	10090
Ap1m2	11768	Ap1m2	10090
Ap1s1	11769	Ap1s1	10090
Fabp4	11770	Fabp4	10090
Ap2a1	11771	Ap2a1	10090
Ap2a2	11772	Ap2a2	10090
Ap2m1	11773	Ap2m1	10090
Ap3b1	11774	Ap3b1	10090
Ap3b2	11775	Ap3b2	10090
