gene*Text	entrezId*Ganzzahl	canonicalSymbol*Text	organismTaxId*Liste	type*Liste	cellCount*Ganzzahl	cellCountOrder*Zahl
Actl7a	11470	Actl7a	10090	protein-coding	100	94
Actl7b	11471	Actl7b	10090	protein-coding	100	95
Actn2	11472	Actn2	10090	protein-coding	100	96
Actn3	11474	Actn3	10090	protein-coding	100	97
Acta2	11475	Acta2	10090	protein-coding	100	98
Acvr1	11477	Acvr1	10090	protein-coding	100	99
Acvr1b	11479	Acvr1b	10090	protein-coding	100	100
Acvr2a	11480	Acvr2a	10090	protein-coding	100	101
Acvr2b	11481	Acvr2b	10090	protein-coding	100	102
Acvrl1	11482	Acvrl1	10090	protein-coding	100	103
Aspa	11484	Aspa	10090	protein-coding	100	104
Ada	11486	Ada	10090	protein-coding	100	105
Adam10	11487	Adam10	10090	protein-coding	100	106
Adam11	11488	Adam11	10090	protein-coding	100	107
Adam12	11489	Adam12	10090	protein-coding	100	108
Adam15	11490	Adam15	10090	protein-coding	100	109
Adam17	11491	Adam17	10090	protein-coding	100	110
Adam19	11492	Adam19	10090	protein-coding	100	111
Apoc3	11814	Apoc3	10090	protein-coding	100	112
Adam2	11495	Adam2	10090	protein-coding	100	113
Adam22	11496	Adam22	10090	protein-coding	100	114
Adam3	11497	Adam3	10090	protein-coding	100	115
Adam4	11498	Adam4	10090	protein-coding	100	116
Adam5	11499	Adam5	10090	protein-coding	100	117
Adam7	11500	Adam7	10090	protein-coding	100	118
Adam8	11501	Adam8	10090	protein-coding	100	119
Adam9	11502	Adam9	10090	protein-coding	100	120
Adamts1	11504	Adamts1	10090	protein-coding	100	121
Apoe	11816	Apoe	10090	protein-coding	100	122
Adcy6	11512	Adcy6	10090	protein-coding	100	123
Adcy7	11513	Adcy7	10090	protein-coding	100	124
Adcy8	11514	Adcy8	10090	protein-coding	100	125
Adcy9	11515	Adcy9	10090	protein-coding	100	126
Adcyap1	11516	Adcyap1	10090	protein-coding	100	127
Adcyap1r1	11517	Adcyap1r1	10090	protein-coding	100	128
Add1	11518	Add1	10090	protein-coding	100	129
Add2	11519	Add2	10090	protein-coding	100	130
Plin2^11520	11520	Plin2^11520	10090	protein-coding	100	131
Adh1	11522	Adh1	10090	protein-coding	100	132
Nr2f2	11819	Nr2f2	10090	protein-coding	100	133
Adh7	11529	Adh7	10090	protein-coding	100	134
Adh5	11532	Adh5	10090	protein-coding	100	135
Adh5-ps1	11533	Adh5-ps1	10090	pseudo	100	136
Adk	11534	Adk	10090	protein-coding	100	137
Adm	11535	Adm	10090	protein-coding	100	138
Gpr182	11536	Gpr182	10090	protein-coding	100	139
Cfd	11537	Cfd	10090	protein-coding	100	140
Adnp	11538	Adnp	10090	protein-coding	100	141
Adora1	11539	Adora1	10090	protein-coding	100	142
Adora2a	11540	Adora2a	10090	protein-coding	100	143
Adora2b	11541	Adora2b	10090	protein-coding	100	144
Adora3	11542	Adora3	10090	protein-coding	100	145
Adprh	11544	Adprh	10090	protein-coding	100	146
Parp1	11545	Parp1	10090	protein-coding	100	147
Parp2	11546	Parp2	10090	protein-coding	100	148
Adra1b	11548	Adra1b	10090	protein-coding	200	277
Adra1a	11549	Adra1a	10090	protein-coding	100	149
Adra1d	11550	Adra1d	10090	protein-coding	100	150
Adra2a	11551	Adra2a	10090	protein-coding	100	151
Adra2b	11552	Adra2b	10090	protein-coding	100	152
Adra2c	11553	Adra2c	10090	protein-coding	100	153
Adrb1	11554	Adrb1	10090	protein-coding	100	154
Adrb2	11555	Adrb2	10090	protein-coding	100	155
Adrb3	11556	Adrb3	10090	protein-coding	100	156
App	11820	App	10090	protein-coding	100	157
Adsl	11564	Adsl	10090	protein-coding	100	158
Adssl1	11565	Adssl1	10090	protein-coding	100	159
Adss	11566	Adss	10090	protein-coding	100	160
Avil	11567	Avil	10090	protein-coding	100	161
Aebp1	11568	Aebp1	10090	protein-coding	100	162
Aebp2	11569	Aebp2	10090	protein-coding	100	163
Crisp1	11571	Crisp1	10090	protein-coding	100	164
Crisp3	11572	Crisp3	10090	protein-coding	100	165
Afp	11576	Afp	10090	protein-coding	100	166
ag	11592	ag	10090	unknown	100	167
Aga	11593	Aga	10090	protein-coding	100	168
Acan	11595	Acan	10090	protein-coding	100	169
Ager	11596	Ager	10090	protein-coding	100	170
Angpt1	11600	Angpt1	10090	protein-coding	100	171
Angpt2	11601	Angpt2	10090	protein-coding	100	172
Angpt4	11602	Angpt4	10090	protein-coding	100	173
Agrn	11603	Agrn	10090	protein-coding	100	174
Agrp	11604	Agrp	10090	protein-coding	100	175
Gla	11605	Gla	10090	protein-coding	100	176
Agt	11606	Agt	10090	protein-coding	100	177
Agtr1a	11607	Agtr1a	10090	protein-coding	100	178
Agtr1b	11608	Agtr1b	10090	protein-coding	100	179
Agtr2	11609	Agtr2	10090	protein-coding	100	180
Agtrap	11610	Agtrap	10090	protein-coding	100	181
Agxt	11611	Agxt	10090	protein-coding	100	182
Nr0b1	11614	Nr0b1	10090	protein-coding	100	183
Gm4737	11615	Gm4737	10090	protein-coding	100	184
Ahr	11622	Ahr	10090	protein-coding	100	185
Ahrr	11624	Ahrr	10090	protein-coding	100	186
Ahsg	11625	Ahsg	10090	protein-coding	100	187
Aicda	11628	Aicda	10090	protein-coding	100	188
Aif1	11629	Aif1	10090	protein-coding	100	189
Aim1	11630	Aim1	10090	protein-coding	100	190
Aip	11632	Aip	10090	protein-coding	100	191
Aire	11634	Aire	10090	protein-coding	100	192
Ak1	11636	Ak1	10090	protein-coding	100	193
Ak2	11637	Ak2	10090	protein-coding	100	194
Ak4	11639	Ak4	10090	protein-coding	100	195
Akap1	11640	Akap1	10090	protein-coding	100	196
Akap2	11641	Akap2	10090	protein-coding	100	197
Akap3	11642	Akap3	10090	protein-coding	100	198
Akap4	11643	Akap4	10090	protein-coding	100	199
Alpl	11647	Alpl	10090	protein-coding	100	200
Akp3	11648	Akp3	10090	protein-coding	100	201
Alppl2	11650	Alppl2	10090	protein-coding	100	202
Akt1	11651	Akt1	10090	protein-coding	100	203
Akt2	11652	Akt2	10090	protein-coding	100	204
Alas1	11655	Alas1	10090	protein-coding	100	205
Alas2	11656	Alas2	10090	protein-coding	100	206
Alb	11657	Alb	10090	protein-coding	100	207
Alcam	11658	Alcam	10090	protein-coding	100	208
Abcd1	11666	Abcd1	10090	protein-coding	100	209
Aldh1a1	11668	Aldh1a1	10090	protein-coding	100	210
Aldh2	11669	Aldh2	10090	protein-coding	100	211
Aldh3a1	11670	Aldh3a1	10090	protein-coding	100	212
Aldh3a2	11671	Aldh3a2	10090	protein-coding	100	213
Aldoa	11674	Aldoa	10090	protein-coding	100	214
Aldoc	11676	Aldoc	10090	protein-coding	100	215
Akr1b3	11677	Akr1b3	10090	protein-coding	100	216
Alk	11682	Alk	10090	protein-coding	100	217
Alox12	11684	Alox12	10090	protein-coding	100	218
Alox12e	11685	Alox12e	10090	protein-coding	100	219
Alox12b	11686	Alox12b	10090	protein-coding	100	220
Alox15	11687	Alox15	10090	protein-coding	100	221
Alox8	11688	Alox8	10090	protein-coding	100	222
Alox5	11689	Alox5	10090	protein-coding	100	223
Alox5ap	11690	Alox5ap	10090	protein-coding	100	224
alp	11691	alp	10090	unknown	100	225
Gfer	11692	Gfer	10090	protein-coding	100	226
Alx3	11694	Alx3	10090	protein-coding	100	227
Alx4	11695	Alx4	10090	protein-coding	100	228
am	11697	am	10090	unknown	100	229
Ambn	11698	Ambn	10090	protein-coding	100	230
Ambp	11699	Ambp	10090	protein-coding	100	231
amd	11700	amd	10090	unknown	100	232
Amd-ps1	11701	Amd-ps1	10090	pseudo	100	233
Amd1	11702	Amd1	10090	protein-coding	100	234
Amelx	11704	Amelx	10090	protein-coding	100	235
Amh	11705	Amh	10090	protein-coding	100	236
Ampd3	11717	Ampd3	10090	protein-coding	100	237
Mat1a	11720	Mat1a	10090	protein-coding	100	238
Amy1	11722	Amy1	10090	protein-coding	100	239
Ang	11727	Ang	10090	protein-coding	100	240
Ang-ps1	11728	Ang-ps1	10090	pseudo	100	241
Ang3	11730	Ang3	10090	protein-coding	100	242
Ang2	11731	Ang2	10090	protein-coding	100	243
Ank	11732	Ank	10090	protein-coding	100	244
Ank1	11733	Ank1	10090	protein-coding	100	245
Ank3	11735	Ank3	10090	protein-coding	100	246
Ankfy1	11736	Ankfy1	10090	protein-coding	100	247
Anp32a	11737	Anp32a	10090	protein-coding	100	248
Aqp8	11833	Aqp8	10090	protein-coding	100	249
Slc25a4	11739	Slc25a4	10090	protein-coding	200	278
Slc25a5	11740	Slc25a5	10090	protein-coding	100	250
anx	11743	anx	10090	unknown	100	251
Anxa11	11744	Anxa11	10090	protein-coding	100	252
Anxa3	11745	Anxa3	10090	protein-coding	100	253
Anxa4	11746	Anxa4	10090	protein-coding	100	254
Anxa5	11747	Anxa5	10090	protein-coding	100	255
Anxa6	11749	Anxa6	10090	protein-coding	100	256
Anxa7	11750	Anxa7	10090	protein-coding	100	257
Anxa8	11752	Anxa8	10090	protein-coding	100	258
ao	11753	ao	10090	unknown	100	259
Aoc3	11754	Aoc3	10090	protein-coding	100	260
Prdx3	11757	Prdx3	10090	protein-coding	100	261
Prdx6	11758	Prdx6	10090	protein-coding	100	262
Aox1	11761	Aox1	10090	protein-coding	100	263
ap	11763	ap	10090	unknown	100	264
Ap1b1	11764	Ap1b1	10090	protein-coding	100	265
Ap1g1	11765	Ap1g1	10090	protein-coding	100	266
Ap1g2	11766	Ap1g2	10090	protein-coding	100	267
Ap1m1	11767	Ap1m1	10090	protein-coding	100	268
Ap1m2	11768	Ap1m2	10090	protein-coding	100	269
Ap1s1	11769	Ap1s1	10090	protein-coding	100	270
Fabp4	11770	Fabp4	10090	protein-coding	100	271
Ap2a1	11771	Ap2a1	10090	protein-coding	100	272
Ap2a2	11772	Ap2a2	10090	protein-coding	100	273
Ap2m1	11773	Ap2m1	10090	protein-coding	100	274
Ap3b1	11774	Ap3b1	10090	protein-coding	100	275
Ap3b2	11775	Ap3b2	10090	protein-coding	100	276
